well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth
W0281,L02,240691.7192,119313.4363,900.0695
W0281,L01,240691.7192,119313.4363,900.0695
W0282,L02,240729.7587,119700.7309,948.3905
W0283,L02,240731.9385,119691.8259,888.896
W0283,L01,240731.9385,119691.8259,888.896
W0284,L02,240807.2614,120133.416,925.4
W0285,L02,240321.6676,119035.7158,917.3855
W0286,L04,240001.3496,119679.9049,1006.13
W0287,L02,240264.7301,119618.1666,925.9265
W0288,L02,240406.5134,120191.9862,915.923
W0289,L02,240562.8589,120379.1916,920.954
W0290,L02,239901.8792,118962.0089,936.4565
W0291,L02,239905.6381,118970.3204,914.519
W0292,L02,240074.5597,120159.8998,932.5955
W0293,L02,240082.8121,120156.5611,907.0895
W0294,L02,240135.492,120614.4627,906.2705
W0294,L01,240135.492,120614.4627,906.2705
W0295,L02,240133.4557,120624.8873,930.665
W0296,L02,239800.3131,120597.7037,933.9995
W0297,L07,239736.3898,119125.4051,1569.6605
W0298,L08,241270.3092,118260.2598,1399.4255
W0299,L07,240526.3568,122580.2802,1365.1445
W0300,L07,240187.4857,118444.899,1329.401
W0301,L08,239550.3732,119303.2679,1353.7955
W0302,L08,240210.5078,120383.5117,1362.8045
W0303,L08,240572.2651,120170.5097,1365.2615
W0304,L08,240018.3431,120901.3294,1363.097
W0305,L08,239558.3234,121192.6347,1365.203
W0306,L08,240691.3672,121888.8437,1373.393
W0307,L08,241609.9159,120596.8946,1398.782
W0309,L08,,,
W0310,L08,240455.7773,123522.9829,903.9305
W0311,L12,240964.0956,122940.3471,1667.7065
W0312,L08,241463.539,119153.9233,1392.113
W0313,L05,240350.2721,121204.3965,1215.092
W0314,L05,240865.9296,119124.0602,1220.825
W0315,L08,240207.9535,119725.4358,1354.4975
W0316,L05,239769.2688,119556.5315,1204.562
W0317,L05,239424.7331,120650.9567,1211.8745
W0318,L05,240476.1159,119752.627,1210.178
W0319,L05,240458.0258,120223.7893,1210.646
W0320,L07,239769.2977,117983.8274,1324.838
W0321,L08,239792.0449,117388.0742,1363.2725
W0321,L07,239792.0449,117388.0742,1363.2725
W0322,L07,240272.3948,121734.1347,1309.4525
W0323,L07,239378.2119,118325.2363,1335.251
W0324,L07,239860.4974,118829.1625,1325.774
W0325,L07,239532.1703,119442.9496,1320.275
W0326,L07,239330.5464,119036.3064,1324.019
W0327,L07,241134.895,121389.7153,1336.2455
W0328,L07,241036.0826,119975.136,1341.686
W0329,L07,241072.2561,120395.015,1348.004
W0330,L07,239510.4907,121548.2243,1338.761
W0331,L07,239960.9221,121684.8618,1342.505
W0332,L08,239742.4907,118148.1487,1306.469
W0332,L06,239742.4907,118148.1487,1306.469
W0333,L07,239472.734,120836.2882,1328.231
W0334,L07,240840.5534,121961.8651,1349.174
W0335,L07,240204.89,122137.229,1334.3735
W0336,L07,241070.9994,120731.1587,1333.613
W0337,L08,239813.1059,119784.1926,1358.066
W0338,L05,240653.8706,118455.32,1226.324
W0339,L05,240943.1275,118700.2638,1214.7995
W0340,L05,241186.825,119350.6721,1231.4135
W0341,L05,241191.991,120128.3624,1232.642
W0342,L05,240906.6733,120393.951,1231.004
W0343,L05,240852.3236,120847.7355,1226.9675
W0344,L05,240721.4869,121245.7137,1223.5745
W0345,L05,240570.262,121578.4179,1217.8415
W0346,L05,240122.0167,121735.1361,1219.07
W0347,L05,239140.227,119177.7189,1210.997
W0348,L05,240268.6911,122181.6842,1229.132
W0349,L08,240573.1092,122339.0734,1385.9705
W0350,L07,,,
W0351,L08,,,
W0352,L07,239668.7961,122906.8283,1331.273
W0353,L05,238948.0572,117896.472,1270.8425
W0354,L08,240119.0361,121373.762,1370.4095
W0355,L08,240555.8148,119804.8861,1412.0615
W0356,L08,239085.6164,119904.1648,1366.256
W0357,L08,240370.027,119255.5866,1354.6145
W0358,L08,241404.956,120121.5188,1395.4475
W0359,L07,239110.3293,120561.5704,1340.1065
W0361,L08,,,
W0362,L08,239062.2019,121615.3224,1388.6615
W0363,L07,238549.9871,120561.2227,1147.6415
W0363,L03,238549.9871,120561.2227,1147.6415
W0364,L08,238450.4807,118664.8438,1363.565
W0364,L07,238450.4807,118664.8438,1363.565
W0365,L02,238458.5902,119488.1475,1173.6155
W0366,L08,240130.6572,118784.7289,1336.889
W0366,L07,240130.6572,118784.7289,1336.889
W0367,L07,240677.9929,120455.7104,1321.211
W0368,L07,240624.5495,121590.4747,1323.7265
W0369,L07,,,
W0370,L08,,,
W0371,L08,239112.4878,119327.8423,1335.251
W0372,L07,,,
W0374,L08,241258.0919,121220.8751,1392.347
W0375,L07,240748.4841,118998.4466,1339.58
W0376,L07,239789.6242,118374.2023,1291.961
W0377,L06,240745.6458,120056.1357,1256.5685
W0378,L06,240032.2654,118700.3521,1254.872
W0379,L06,240026.8462,119493.4065,1519.2335
W0380,L06,239993.815,120281.2235,1233.7535
W0381,L06,240012.342,121059.3634,1252.3565
W0382,L05,240483.604,119104.3883,1196.606
W0383,L05,239828.0348,119506.238,1185.4325
W0384,L04,240442.7951,120941.3457,850.5785
W0385,L08,241194.9778,122342.1413,1402.526
W0386,L05,239758.0402,118469.3742,1519.7015
W0387,L05,240069.2943,120536.2528,1192.394
W0388,L05,239668.3578,120511.8231,1191.9845
W0389,L05,239692.3374,121418.831,1201.1105
W0390,L07,239138.0001,118655.0026,1276.5755
W0390,L06,239138.0001,118655.0026,1276.5755
W0391,L07,240193.9463,119995.3083,1322.1938
W0392,L07,240302.7807,119437.8598,1327.4705
W0393,L07,240325.7723,119469.3676,1293.482
W0394,L07,240262.0914,120111.9939,1294.769
W0395,L07,240235.983,120839.3751,1299.683
W0396,L08,240519.1948,117620.5837,1397.9045
W0397,L07,239729.8779,119815.9816,1319.456
W0398,L01,240630.0547,119267.4962,1083.35
W0399,L06,239697.9253,119607.9137,1224.92
W0400,L07,239737.8827,119888.5836,1286.2865
W0401,L07,239715.6441,120629.0761,1290.791
W0402,L07,239734.6816,120487.0125,1283.42
W0402,L06,239734.6816,120487.0125,1283.42
W0403,L07,239266.8218,118752.5104,1249.8995
W0403,L05,239266.8218,118752.5104,1249.8995
W0404,L07,239165.6943,119418.7217,1289.5625
W0405,L07,239109.9231,119510.7086,1272.773
W0406,L07,239296.0965,120291.4879,1332.56
W0407,L07,239198.9268,120340.1686,1296.875
W0408,L07,240737.4979,119841.2737,1339.2875
W0409,L07,240744.1349,119831.1386,1305.5915
W0410,L07,240719.1177,120616.2974,1349.291
W0411,L07,240709.1639,120619.04,1300.502
W0412,L07,240267.5679,118991.8386,1293.8915
W0413,L07,240258.9172,118995.9782,1294.0085
W0414,L07,240207.6078,121290.7406,1319.1635
W0415,L07,240203.7403,121278.6294,1271.1935
W0415,L06,240203.7403,121278.6294,1271.1935
W0416,L07,240750.2455,119395.4236,1338.0005
W0417,L07,,,
W0418,L08,,,
W0419,L06,240373.5817,119746.4998,1244.81
W0420,L06,239844.6398,120063.3217,1253.5265
W0421,L06,240369.3387,120035.8102,1222.6385
W0422,L06,239567.9023,119219.1879,1220.123
W0423,L06,239598.3168,120027.0609,1211.933
W0424,L06,239634.549,120640.1002,1218.485
W0425,L06,239281.9224,118990.5567,1217.315
W0426,L06,239239.6377,119569.8542,1216.847
W0427,L06,239176.369,120156.1994,1219.2455
W0428,L07,,,
W0429,L08,,,
W0430,L08,239866.2373,119216.6305,1353.737
W0431,L05,239301.2841,119343.5936,1192.511
W0432,L05,239563.2212,119755.9999,1184.2625
W0433,L05,239553.0099,120217.8443,1184.3795
W0434,L05,239490.6065,120603.947,1151.9705
W0434,L04,239490.6065,120603.947,1151.9705
W0435,L05,239945.1657,120021.7533,1184.438
W0436,L05,240037.9224,118866.3797,1207.6625
W0437,L05,240472.3151,119382.3547,1208.423
W0438,L05,240131.0105,118438.2472,1210.4705
W0439,L05,240487.2112,118825.6994,1216.847
W0440,L05,240521.8441,120742.6657,1214.858
W0441,L08,240609.5943,121469.2683,1345.547
W0442,L07,239918.6118,119487.1922,1289.7965
W0443,L07,241073.1362,120280.5327,1313.6645
W0444,L07,240233.2173,120669.5409,1333.0865
W0445,L07,240626.7013,118962.123,1302.374
W0446,L07,239328.212,119901.9139,1261.073
W0446,L06,239328.212,119901.9139,1261.073
W0447,L07,239325.8698,119892.1592,1292.9555
W0448,L07,240283.0574,118414.7019,1284.005
W0449,L07,239818.567,118199.2561,1286.462
W0450,L07,239417.5892,118376.827,1294.2425
W0451,L07,240600.9381,121048.1869,1338.4685
W0452,L07,,,
W0453,L08,,,
W0454,L11,,,1502.7365
W0455,L03,239741.3039,119052.3337,927.9155
W0455,L01,239741.3039,119052.3337,927.9155
W0456,L07,239757.053,121223.0636,1539.2405
W0457,L07,241651.0303,122673.0066,1527.014
W0458,L07,240427.0211,123322.1477,1368.5375
W0459,L10,,,1241.885
W0460,L10,241713.9033,118935.3342,1589.258
W0461,L10,240905.6777,123390.5609,1567.4375
W0462,L09,239567.6013,119641.5097,1487.7488
W0463,L09,239896.2554,120272.725,1489.0475
W0464,L09,239795.5865,119097.4506,1488.6146
W0465,L08,240144.0286,120938.8441,1416.098
W0466,L09,240407.3459,122152.8293,1519.2335
W0467,L11,239479.6261,118348.9861,1578.026
W0468,L11,240009.3474,119335.4258,1568.432
W0469,L10,240244.5119,117637.2474,1571.708
W0470,L11,241062.2462,120910.299,1594.5815
W0471,L10,239674.9534,120756.5288,1519.5845
W0472,L10,240563.7126,119759.8681,1528.418
W0473,L10,240193.0856,118620.9867,1531.343
W0474,L10,239776.3488,119028.0541,1521.749
W0475,L10,239965.1166,119348.3463,1519.5845
W0476,L10,239543.378,119534.4244,1519.058
W0478,L11,,,
W0479,L11,240211.9052,121791.6122,1590.896
W0480,L10,240635.4186,121356.6494,1538.597
W0481,L10,240133.0062,122813.834,1553.105
W0482,L10,239815.6714,118245.2628,1530.5942
W0483,L11,240204.7993,119076.2013,1581.9455
W0484,L10,241258.1623,119780.9913,1547.8985
W0485,L10,239498.9992,118495.6625,1529.4125
W0486,L08,239415.302,117801.1908,1486.2395
W0487,L10,239810.6923,121997.7838,1538.1875
W0488,L12,240845.9544,117620.0217,1658.2295
W0490,L11,,,
W0491,L11,239336.9841,119977.6942,1520.8715
W0491,L09,239336.9841,119977.6942,1520.8715
W0492,L09,240094.0911,119944.7149,1432.7705
W0493,L09,240142.3213,119235.7236,1457.399
W0494,L10,,,
W0495,L11,,,
W0496,L09,239383.2092,121142.5322,1529.7635
W0497,L11,239490.0225,119228.1648,1567.9055
W0498,L11,239999.9992,119384.6672,1571.942
W0499,L12,240560.7296,119793.795,1644.3065
W0500,L11,240032.948,120489.5152,1578.845
W0501,L10,,,
W0503,L08,239381.7714,122121.158,1462.6055
W0504,L11,240240.0522,119795.2831,1586.45
W0506,L11,,,
W0507,L12,240081.1612,118513.5006,1714.7405
W0508,L10,238552.6652,118305.6109,1529.9975
W0509,L10,238667.6351,120529.4155,1472.4335
W0509,L08,238667.6351,120529.4155,1472.4335
W0510,L12,238662.4808,121509.5897,1643.195
W0511,L08,240221.4736,116933.3779,1536.5495
W0512,L10,240908.7806,122343.6912,1548.3665
W0513,L07,241647.7572,118025.5421,1519.292
W0514,L11,240247.9628,121165.1687,1561.9385
W0514,L10,240247.9628,121165.1687,1561.9385
W0515,L09,239534.6433,118506.2416,1455.41
W0516,L09,239762.4716,118817.8851,1438.6205
W0518,L13,,,
W0519,L10,241698.905,119816.8705,1556.615
W0520,L10,240233.8821,119139.0554,1517.42
W0521,L10,240263.7474,119960.4897,1523.972
W0522,L10,240147.8671,120717.9548,1521.515
W0522,L09,240147.8671,120717.9548,1521.515
W0523,L09,239447.1463,119282.7623,1433.0045
W0524,L09,239483.8597,119297.4189,1460.2655
W0525,L10,240291.4599,121595.431,1532.981
W0526,L09,239327.3249,120568.2177,1481.852
W0527,L09,241111.1294,120013.2457,1487.351
W0528,L09,241288.6005,121180.6057,1497.998
W0529,L09,240412.6276,119070.8494,1465.9985
W0530,L12,239749.747,119317.9352,1642.025
W0531,L09,240335.8897,120481.1073,1473.545
W0532,L09,240250.1515,121900.0256,1488.9305
W0533,L09,239785.8385,119155.6329,1451.6075
W0534,L09,239727.9435,120558.3279,1464.3605
W0535,L09,239724.7707,119988.9937,1455.4685
W0536,L11,239785.5458,119652.0748,1581.3488
W0537,L11,239886.2591,120873.2693,1596.3365
W0538,L10,239275.9282,118808.1298,1466.642
W0538,L09,239275.9282,118808.1298,1466.642
W0539,L11,239244.4848,119493.703,1548.7175
W0540,L11,240416.9045,119615.5611,1572.41
W0541,L09,240289.9168,120290.4912,1438.0355
W0542,L09,240208.8131,119628.3736,1387.4915
W0542,L07,240208.8131,119628.3736,1387.4915
W0543,L09,240739.2164,119585.1691,1474.0715
W0544,L09,241072.138,120580.7957,1485.8885
W0545,L09,239410.6827,119642.306,1461.9035
W0546,L09,240698.4892,118859.8197,1476.353
W0547,L09,240953.1417,119243.7825,1479.161
W0548,L09,240429.258,118555.7103,1474.832
W0549,L09,240422.3537,118536.2459,1453.3625
W0550,L10,,,
W0551,L11,,,
W0552,L08,241649.2008,122034.6691,1451.549
W0552,L07,241649.2008,122034.6691,1451.549
W0553,L09,240550.6794,119648.3574,1442.2475
W0554,L09,240501.7541,120817.5315,1448.2145
W0555,L09,240002.2349,118237.7791,1466.993
W0556,L09,240123.7004,118830.1648,1439.147
W0557,L09,239967.6936,118756.8989,1467.812
W0558,L09,240287.8357,119136.2129,1437.9185
W0559,L09,240123.7019,120002.2879,1462.196
W0560,L09,240035.5396,120750.01,1474.8905
W0561,L09,239836.4091,119653.4393,1458.2765
W0562,L09,239761.1756,119991.111,1431.074
W0564,L10,,,
W0565,L11,240984.0821,118283.8698,1640.855
W0566,L11,240364.4132,120235.9819,1592.417
W0567,L11,240237.393,120438.6308,1563.6935
W0568,L11,239648.1776,120582.2491,1579.3715
W0569,L11,240165.8782,119912.5319,1560.593
W0570,L11,240803.2324,119715.4841,1593.938
W0571,L11,240350.8389,120740.554,1584.11
W0572,L11,240750.3981,119321.6831,1622.1935
W0573,L11,239914.4178,120106.4033,1569.602
W0574,L11,239907.9655,120074.5779,1590.0185
W0575,L11,240970.8537,119160.9421,1561.646
W0576,L09,239625.9615,120733.72,1440.1415
W0577,L09,239159.5711,119144.2349,1469.333
W0578,L09,239010.4153,119665.9549,1469.1575
W0579,L09,239128.1924,120016.8284,1465.94
W0580,L09,238994.9641,118612.9073,1470.6785
W0581,L09,240722.6808,122335.1738,1496.4185
W0582,L09,240816.4875,121096.1176,1486.649
