well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0358,L08,241404.956,120121.5188,1395.4475,0.365,18.66,0.5109814
W0359,L07,239110.3293,120561.5704,1340.1065,0.39,33.6,0.4804145
W0362,L08,239062.2019,121615.3224,1388.6615,0.365,22.81,0.5351783
W0365,L02,238458.5902,119488.1475,1173.6155,0.415,21.98,0.5376808
W0366,L08,240130.6572,118784.7289,1336.889,0.4025,36.09,0.4072505
W0367,L07,240677.9929,120455.7104,1321.211,0.39,21.98,0.4116003
W0368,L07,240624.5495,121590.4747,1323.7265,0.4275,45.22,0.3927269
W0371,L08,239112.4878,119327.8423,1335.251,0.4025,36.09,0.4256962
W0374,L08,241258.0919,121220.8751,1392.347,0.39,17,0.5186345
W0376,L07,239789.6242,118374.2023,1291.961,0.39,36.92,0.5563358
W0377,L06,240745.6458,120056.1357,1256.5685,0.4025,28.62,0.5060583
W0378,L06,240032.2654,118700.3521,1254.872,0.3775,29.45,0.5321298
W0379,L06,240026.8462,119493.4065,1519.2335,0.4025,38.58,0.4678474
W0380,L06,239993.815,120281.2235,1233.7535,0.39,36.09,0.4926904
W0381,L06,240012.342,121059.3634,1252.3565,0.415,51.86,0.5087792
W0382,L05,240483.604,119104.3883,1196.606,0.4025,19.49,0.4920443
W0383,L05,239828.0348,119506.238,1185.4325,0.39,22.81,0.4845459
W0384,L04,240442.7951,120941.3457,850.5785,0.34,9.53,0.5498384
W0385,L08,241194.9778,122342.1413,1402.526,0.39,27.79,0.5445422
W0386,L05,239758.0402,118469.3742,1519.7015,0.3275,26.13,0.5515947
W0387,L05,240069.2943,120536.2528,1192.394,0.365,11.19,0.5076872
W0388,L05,239668.3578,120511.8231,1191.9845,0.39,15.34,0.5039562
W0389,L05,239692.3374,121418.831,1201.1105,0.415,33.6,0.4705774
W0390,L07,239138.0001,118655.0026,1276.5755,0.39,37.75,0.5693943
W0392,L07,240302.7807,119437.8598,1327.4705,0.4025,31.11,0.3872942
W0394,L07,240262.0914,120111.9939,1294.769,0.39,38.58,0.3865298
W0395,L07,240235.983,120839.3751,1299.683,0.4275,62.65,0.3702408
W0397,L07,239729.8779,119815.9816,1319.456,0.39,34.43,0.4118824
W0398,L01,240630.0547,119267.4962,1083.35,0.4025,27.79,0.5364068
W0399,L06,239697.9253,119607.9137,1224.92,0.4025,31.94,0.5267608
W0400,L07,239737.8827,119888.5836,1286.2865,0.4025,32.77,0.4032374
W0401,L07,239715.6441,120629.0761,1290.791,0.4025,35.26,0.4044295
W0402,L07,239734.6816,120487.0125,1283.42,0.4025,28.62,0.4933092
W0404,L07,239165.6943,119418.7217,1289.5625,0.39,29.45,0.4626695
W0405,L07,239109.9231,119510.7086,1272.773,0.4025,40.24,0.5462257
W0406,L07,239296.0965,120291.4879,1332.56,0.4025,27.79,0.4263605
